ClientID,Surname,Firstname,FICOScore,Subsidiary,Gender,Age,Balance,Products,BankCC,Active,RegDeposits,LifeInsur,PlatStatus,Terminated
40ATL20120GM80095097706311P,Graci,Mindy,624,Atlanta,Female,37,122113,2,1,0,5007,1,1,0
91CHL20100VI26913599075505N,Veness,Iraida,670,Chapel Hill,Female,39,0,2,0,0,7835,1,0,0
61BOS20130LH10246893211788N,Latimore,Hector,746,Boston,Male,32,87993,1,0,0,8401,0,0,0
61BOS20150AC6028668471081P,Aerts,Clifford,796,Boston,Male,36,1971,2,1,0,8931,1,1,0
61BOS20190SR10901609271524N,Swestka,Romeo,584,Boston,Male,49,83892,1,1,0,8353,0,0,1
61BOS20100PE68150119470659N,Placko,Earnest,803,Boston,Male,40,80302,1,1,0,5725,0,0,0
61BOS20130RI83605437593545N,Rodgerson,Ivory,640,Boston,Female,59,134954,1,1,1,18479,0,0,1
61BOS20120AV96180026327670P,Adlam,Vito,632,Boston,Male,37,82247,2,1,0,7930,1,1,0
40ATL20150KM35959179476007N,Kounter,Marcella,476,Atlanta,Female,34,75253,1,1,1,12134,0,0,0
40ATL20100HM92446513737423P,Hogan,Marquis,516,Atlanta,Male,34,102512,3,1,0,9948,1,1,0
61BOS20120WS48799067207493N,Wirt,Shakita,786,Boston,Female,36,0,1,0,0,354,0,0,1
61BOS20190HD77138975764005N,Higham,Dinah,795,Boston,Female,60,573,2,1,1,7564,0,0,1
61BOS20150GR69842593992087N,Gagarin,Richard,588,Boston,Male,39,-248,1,1,0,4036,0,0,0
91CHL20130ZW49851927308136N,Zuclich,Walton,747,Chapel Hill,Male,33,94817,1,0,1,6354,0,0,0
61BOS20160WN10253396468554N,Walper,Niesha,790,Boston,Female,27,48990,2,0,1,16891,0,0,0
61BOS20120LT3441685871900N,Larney,Terrence,766,Boston,Male,44,120770,1,1,1,2439,0,0,0
91CHL20110HR54962931222429N,Hartigan,Roberto,457,Chapel Hill,Female,46,86112,1,0,1,10887,0,0,0
61BOS20120AJ51917715176494N,Allegrucci,Jayson,722,Boston,Male,33,125182,1,0,0,2735,0,0,0
